month,search_interest
2019-04-01,9.31
2019-05-01,10.31
2019-06-01,11.48
2019-07-01,10.19
2019-08-01,9.2
2019-09-01,7.94
2019-10-01,7.84
2019-11-01,7.94
2019-12-01,7.73
2020-01-01,8.57
2020-02-01,11.02
2020-03-01,8.17
2020-04-01,8.39
2020-05-01,9.53
2020-06-01,9.4
2020-07-01,12.72
2020-08-01,16.81
2020-09-01,11.61
2020-10-01,10.14
2020-11-01,12.48
2020-12-01,16.61
2021-01-01,28.99
2021-02-01,40.45
2021-03-01,33.02
2021-04-01,43.99
2021-05-01,47.57
2021-06-01,24.08
2021-07-01,20.02
2021-08-01,29.08
2021-09-01,29.74
2021-10-01,33.93
2021-11-01,38.69
2021-12-01,30.66
2022-01-01,35.46
2022-02-01,28.45
2022-03-01,24.51
2022-04-01,22.59
2022-05-01,22.49
2022-06-01,19.8
2022-07-01,17.13
2022-08-01,15.96
2022-09-01,15.55
2022-10-01,13.96
2022-11-01,15.5
2022-12-01,12.81
2023-01-01,17.4
2023-02-01,18.25
2023-03-01,16.15
2023-04-01,15.23
2023-05-01,13.29
2023-06-01,13.96
2023-07-01,15.05
2023-08-01,12.39
2023-09-01,11.02
2023-10-01,12.6
2023-11-01,16.5
2023-12-01,19.73
2024-01-01,17.06
2024-02-01,23.39
2024-03-01,31.53
2024-04-01,22.2
