year,cryptocurrency,search_interest
2019,Bitcoin,14.666666666666666
2019,Bnb,54.794871794871796
2019,Cardano,3.051282051282051
2019,Chainlink,10.025641025641026
2019,Dogecoin,0.10256410256410256
2019,Ethereum,3.6923076923076925
2019,Fetch.Ai,0.6410256410256411
2019,Filecoin,0.9743589743589743
2019,Kucoin,3.5641025641025643
2019,Litecoin,18.205128205128204
2019,Monero,24.256410256410255
2019,Oasis Network,3.3333333333333335
2019,Ocean Protocol,9.0
2019,Pancakeswap,0.0
2019,Polkadot,5.589743589743589
2019,Singularitynet,5.358974358974359
2019,Solana,8.0
2019,Tezos,10.333333333333334
2019,Uniswap,0.0
2019,Xrp,6.410256410256411
2020,Bitcoin,17.903846153846153
2020,Bnb,42.13461538461539
2020,Cardano,4.173076923076923
2020,Chainlink,21.923076923076923
2020,Dogecoin,0.28846153846153844
2020,Ethereum,7.288461538461538
2020,Fetch.Ai,1.0384615384615385
2020,Filecoin,3.0576923076923075
2020,Kucoin,4.346153846153846
2020,Litecoin,15.961538461538462
2020,Monero,27.153846153846153
2020,Oasis Network,3.269230769230769
2020,Ocean Protocol,18.557692307692307
2020,Pancakeswap,0.019230769230769232
2020,Polkadot,9.192307692307692
2020,Singularitynet,7.230769230769231
2020,Solana,7.423076923076923
2020,Tezos,20.51923076923077
2020,Uniswap,5.4423076923076925
2020,Xrp,9.557692307692308
2021,Bitcoin,45.5
2021,Bnb,64.71153846153847
2021,Cardano,40.86538461538461
2021,Chainlink,34.55769230769231
2021,Dogecoin,17.76923076923077
2021,Ethereum,42.05769230769231
2021,Fetch.Ai,13.5
2021,Filecoin,15.673076923076923
2021,Kucoin,36.51923076923077
2021,Litecoin,41.82692307692308
2021,Monero,54.44230769230769
2021,Oasis Network,12.538461538461538
2021,Ocean Protocol,39.01923076923077
2021,Pancakeswap,31.307692307692307
2021,Polkadot,47.28846153846154
2021,Singularitynet,17.03846153846154
2021,Solana,27.48076923076923
2021,Tezos,32.21153846153846
2021,Uniswap,27.134615384615383
2021,Xrp,27.96153846153846
2022,Bitcoin,28.884615384615383
2022,Bnb,55.13461538461539
2022,Cardano,16.403846153846153
2022,Chainlink,16.615384615384617
2022,Dogecoin,3.1346153846153846
2022,Ethereum,23.826923076923077
2022,Fetch.Ai,6.634615384615385
2022,Filecoin,9.096153846153847
2022,Kucoin,33.40384615384615
2022,Litecoin,13.538461538461538
2022,Monero,39.07692307692308
2022,Oasis Network,19.596153846153847
2022,Ocean Protocol,20.846153846153847
2022,Pancakeswap,14.211538461538462
2022,Polkadot,23.423076923076923
2022,Singularitynet,6.980769230769231
2022,Solana,34.36538461538461
2022,Tezos,22.48076923076923
2022,Uniswap,10.923076923076923
2022,Xrp,11.384615384615385
2023,Bitcoin,20.132075471698112
2023,Bnb,44.43396226415094
2023,Cardano,9.037735849056604
2023,Chainlink,14.09433962264151
2023,Dogecoin,1.4528301886792452
2023,Ethereum,11.075471698113208
2023,Fetch.Ai,11.245283018867925
2023,Filecoin,6.679245283018868
2023,Kucoin,19.11320754716981
2023,Litecoin,9.88679245283019
2023,Monero,24.92452830188679
2023,Oasis Network,8.39622641509434
2023,Ocean Protocol,23.11320754716981
2023,Pancakeswap,5.132075471698113
2023,Polkadot,15.69811320754717
2023,Singularitynet,19.11320754716981
2023,Solana,23.452830188679247
2023,Tezos,8.943396226415095
2023,Uniswap,10.11320754716981
2023,Xrp,18.22641509433962
2024,Bitcoin,32.214285714285715
2024,Bnb,55.214285714285715
2024,Cardano,12.428571428571429
2024,Chainlink,21.571428571428573
2024,Dogecoin,2.5714285714285716
2024,Ethereum,17.857142857142858
2024,Fetch.Ai,35.57142857142857
2024,Filecoin,10.571428571428571
2024,Kucoin,30.928571428571427
2024,Litecoin,11.857142857142858
2024,Monero,36.92857142857143
2024,Oasis Network,11.928571428571429
2024,Ocean Protocol,39.857142857142854
2024,Pancakeswap,6.642857142857143
2024,Polkadot,22.071428571428573
2024,Singularitynet,35.42857142857143
2024,Solana,59.785714285714285
2024,Tezos,8.5
2024,Uniswap,18.071428571428573
2024,Xrp,18.071428571428573
